type	latitude	longitude	altitude (m)	name
W	22.449922528	-100.861682849	1839.0	P_392
W	22.047276305	-101.074601303	2153.4	P_393
W	22.554516010	-100.955058462	1672.2	P_394
W	22.205508435	-101.017349803	1900.0	P_395
W	22.096911831	-100.996400103	2114.1	P_396
W	22.030911436	-100.979296035	2621.8	P_397
W	22.637177958	-100.949759552	1638.0	P_398
W	22.373669190	-100.889438568	1853.2	P_399
W	21.983224223	-101.016352620	2515.3	P_400
W	22.448146890	-100.776119829	2067.4	P_401
W	22.122908184	-101.056187100	1985.2	P_402
W	22.188367637	-100.976609419	1860.0	P_403
W	22.040676511	-101.121940851	2363.6	P_404
W	22.339448437	-100.883816678	1830.0	P_405
W	22.080542635	-100.910868409	1890.6	P_406
W	22.455053073	-100.850433282	1846.7	P_407
W	22.555447053	-101.118184868	1909.2	P_408
W	22.333747870	-100.951677220	1827.0	P_409
W	22.450974554	-100.920792646	1895.1	P_410
W	22.531599319	-101.016877602	1700.0	P_411
W	22.073775965	-100.972443698	2163.0	P_412
W	22.093663585	-100.884213658	1857.0	P_413
W	22.411869992	-100.912939496	1981.9	P_414
W	22.426984503	-100.982834873	1844.5	P_415
W	22.133610440	-100.988726016	1871.0	P_416
W	22.489610428	-100.970239147	1762.8	P_417
W	22.592654976	-101.004737032	1678.9	P_418
W	22.073445455	-100.888560555	1871.0	P_419
W	22.400478141	-100.839324290	1827.0	P_420
W	22.247046453	-100.982355119	1852.2	P_421
W	22.245675014	-100.971556695	1849.7	P_422
W	22.559984351	-101.100622198	1869.4	P_423
W	22.625027923	-100.917162565	1634.4	P_424
W	22.445816343	-100.993558367	1862.8	P_425
W	22.004024981	-100.873202931	1853.8	P_426
W	22.407673841	-100.910593707	1931.0	P_427
W	22.457980462	-100.772988390	2084.3	P_428
W	22.578905560	-100.949630540	1658.0	P_429
W	22.203202496	-101.006391040	1890.0	P_430
W	22.229567340	-101.001722541	1870.1	P_431
W	22.644173367	-100.939261532	1634.0	P_432
W	22.398047540	-100.898113003	1885.8	P_433
W	21.991222986	-100.989370181	2375.2	P_434
W	22.410866067	-100.893753427	1877.2	P_435
W	22.385279032	-100.962414623	1819.0	P_436
W	22.011605962	-101.006084146	2362.6	P_437
W	22.574017664	-101.073004550	1803.8	P_438
W	22.095836103	-101.101223885	2183.9	P_439
W	22.634706771	-100.963418426	1643.0	P_440
W	22.282966378	-100.954156005	1834.0	P_441
W	22.247123348	-100.969355493	1849.6	P_442
W	22.449332553	-100.908179053	1873.1	P_443
W	22.601292067	-100.969730302	1654.5	P_444
W	22.401251727	-100.823091003	1829.0	P_445
W	22.173190281	-101.004668512	1883.9	P_446
W	22.534862488	-101.081396970	1854.7	P_447
W	22.566779985	-101.068018328	1820.0	P_448
W	22.312625026	-100.979244210	1833.0	P_449
W	22.179363454	-100.975584699	1861.0	P_450
W	21.993354619	-101.039470060	2544.6	P_451
W	22.635168267	-100.958614893	1641.0	P_452
W	22.350816289	-100.971052823	1821.7	P_453
W	22.643397397	-100.905986164	1627.0	P_454
W	22.536770410	-100.980019608	1689.0	P_455
W	22.464169702	-100.848040075	1872.3	P_456
W	22.520216348	-100.909197708	1779.9	P_457
W	22.074925800	-100.891096628	1870.3	P_458
W	22.391536149	-100.847028459	1827.0	P_459
W	22.563823188	-101.023141191	1700.0	P_460
W	22.536899341	-101.059935693	1762.4	P_461
W	22.425726413	-100.829716424	1840.0	P_462
W	22.383449723	-100.915272923	1888.8	P_463
W	22.128849805	-100.969109316	1876.6	P_464
W	22.451651930	-100.781196602	2089.8	P_465
W	22.076914851	-101.108665951	2149.7	P_466
W	22.595976491	-101.008894489	1683.0	P_467
W	22.628715251	-100.989919539	1659.0	P_468
W	22.150165632	-101.105457872	2179.8	P_469
W	22.047798701	-100.906077556	1912.2	P_470
W	22.043774179	-101.116159853	2315.8	P_471
W	22.079111862	-101.072965509	2097.5	P_472
W	21.983608066	-100.828238471	1839.9	P_473
W	22.583749404	-100.995100267	1670.0	P_474
W	22.059869068	-101.014534131	2345.6	P_475
W	22.105983773	-101.066993505	2113.4	P_476
W	22.524768279	-101.027900610	1709.6	P_477
W	22.556861232	-100.978399352	1670.0	P_478
W	22.104421649	-100.890233993	1850.0	P_479
W	22.330665836	-100.877015975	1832.0	P_480
W	22.431553536	-100.820844342	1862.0	P_481
W	22.418397214	-100.871102249	1869.2	P_482
W	22.456406886	-100.812050162	2016.0	P_483
W	22.232947468	-100.951928161	1842.0	P_484
W	22.080909717	-100.935975618	2029.8	P_485
W	22.479795183	-100.965226574	1780.0	P_486
W	22.121323849	-100.912502039	1847.0	P_487
W	22.073540036	-100.879346479	1866.0	P_488
W	22.082944867	-100.978468413	2168.0	P_489
W	22.043696223	-100.823017424	1856.0	P_490
W	22.057641821	-101.063216087	2198.6	P_491
